sample_idx,cpu_pct,mem_pct,mem_used_mb,disco_pct,load_1min
0,0.0,54.8,499.18359375,93.8,0.04150390625
1,0.0,54.8,499.11328125,93.8,0.0380859375
2,0.0,54.8,499.11328125,93.8,0.0380859375
3,0.0,54.8,499.0703125,93.8,0.0380859375
4,0.0,54.8,499.0703125,93.8,0.0380859375
5,0.0,54.8,499.0703125,93.8,0.0380859375
6,0.0,54.8,499.0703125,93.8,0.03466796875
7,0.0,54.8,499.0703125,93.8,0.03466796875
8,0.0,54.8,499.0703125,93.8,0.03466796875
9,0.0,54.8,499.0703125,93.8,0.03466796875
10,0.0,54.8,499.0703125,93.8,0.03466796875
11,0.0,54.8,499.0703125,93.8,0.03173828125
12,0.0,54.8,499.0703125,93.8,0.03173828125
13,0.0,54.8,499.0703125,93.8,0.03173828125
14,0.0,54.8,499.0703125,93.8,0.03173828125
15,0.0,54.8,499.0703125,93.8,0.03173828125
16,0.0,54.8,499.0703125,93.8,0.02880859375
17,0.0,54.8,499.0703125,93.8,0.02880859375
18,0.0,54.8,499.0703125,93.8,0.02880859375
19,0.0,54.8,499.0703125,93.8,0.02880859375
20,0.0,55.0,500.9296875,93.8,0.02880859375
21,0.0,55.0,501.02734375,93.8,0.0263671875
22,0.0,55.0,501.02734375,93.8,0.0263671875
23,0.0,55.0,501.02734375,93.8,0.0263671875
24,0.0,55.0,501.02734375,93.8,0.0263671875
25,0.0,55.0,501.02734375,93.8,0.0263671875
26,0.0,55.0,501.02734375,93.8,0.02392578125
27,0.0,55.0,501.02734375,93.8,0.02392578125
28,0.0,55.0,501.02734375,93.8,0.02392578125
29,0.0,55.0,501.02734375,93.8,0.02392578125
30,0.0,55.0,501.02734375,93.8,0.02392578125
31,0.0,55.0,501.02734375,93.8,0.02197265625
32,0.0,55.0,501.02734375,93.8,0.02197265625
33,0.0,55.0,501.02734375,93.8,0.02197265625
34,0.0,55.0,501.02734375,93.8,0.02197265625
35,0.0,55.0,501.02734375,93.8,0.02197265625
36,0.0,55.0,501.02734375,93.8,0.02001953125
37,0.0,55.0,501.02734375,93.8,0.02001953125
38,0.0,55.0,501.02734375,93.8,0.02001953125
39,0.0,55.0,501.02734375,93.8,0.02001953125
40,0.0,55.2,502.953125,93.8,0.02001953125
41,0.0,55.2,502.99609375,93.8,0.01806640625
42,0.0,55.2,502.99609375,93.8,0.01806640625
43,0.0,55.2,502.99609375,93.8,0.01806640625
44,0.5,55.2,502.99609375,93.8,0.01806640625
45,0.0,55.2,502.99609375,93.8,0.01806640625
46,0.0,55.2,502.99609375,93.8,0.0166015625
47,0.0,55.2,502.99609375,93.8,0.0166015625
48,0.0,55.2,502.99609375,93.8,0.0166015625
49,0.0,55.2,502.99609375,93.8,0.0166015625
50,0.5,55.2,502.99609375,93.8,0.0166015625
51,0.0,55.2,502.99609375,93.8,0.01513671875
52,0.0,55.2,502.99609375,93.8,0.01513671875
53,0.0,55.2,502.99609375,93.8,0.01513671875
54,0.0,55.2,502.99609375,93.8,0.01513671875
55,0.0,55.2,502.99609375,93.8,0.01513671875
56,0.0,55.2,502.99609375,93.8,0.013671875
57,0.0,55.2,502.99609375,93.8,0.013671875
58,0.0,55.2,502.99609375,93.8,0.013671875
59,0.0,55.2,502.99609375,93.8,0.013671875
